Age,Calarasi
0,186
1,186
2,186
3,186
4,186
5,214
6,214
7,214
8,214
9,214
10,270
11,270
12,270
13,270
14,270
15,234
16,234
17,234
18,234
19,234
20,240
21,240
22,240
23,240
24,240
25,252
26,252
27,252
28,252
29,252
30,418
31,418
32,418
33,418
34,418
35,400
36,400
37,400
38,400
39,400
40,430
41,430
42,430
43,430
44,430
45,423
46,423
47,423
48,423
49,423
50,519
51,519
52,519
53,519
54,519
55,308
56,308
57,308
58,308
59,308
60,392
61,392
62,392
63,392
64,392
65,390
66,390
67,390
68,390
69,390
70,275
71,275
72,275
73,275
74,275
75,154
76,154
77,154
78,154
79,154
80,123
81,123
82,123
83,123
84,123
85,60
86,60
87,60
88,60
89,60
90+,60
