Age,City of London,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,Inner London,Outer London,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,England,Wales,Scotland,Northern Ireland,England and Wales,Great Britain,United Kingdom
0,66,3794,5198,3110,5120,4126,2750,5728,5280,4937,4570,4323,2284,4052,3419,3185,4570,4287,2867,1785,2361,4417,4652,3277,5886,4791,2592,4515,2841,4546,4611,4898,2677,49718,77797,28360,85997,64182,53369,69951,72253,127515,103264,58086,662977,33542,56001,24249,696519,752520,776769
1,75,3785,5275,3146,4989,4171,2781,5667,5264,5018,4428,4227,2283,4040,3519,3285,4492,4233,2634,1743,2250,4173,4567,3194,6126,4528,2660,4347,2699,4438,4312,4746,2619,48799,76915,29183,87070,65040,53813,71703,73839,125714,104978,59653,670993,33969,56678,24485,704962,761640,786125
2,88,4064,5310,3146,4959,4278,2892,5724,5471,5139,4649,4227,2363,3828,3608,3228,4614,4373,2711,1740,2345,4116,4671,3208,5879,4623,2775,4504,2727,4681,4428,4583,2759,49042,78669,30073,88556,66623,55728,73918,75845,127711,108928,61550,688932,34941,57813,25018,723873,781686,806704
3,89,4101,5822,3401,5121,4574,3069,5731,5414,5156,4472,4060,2391,3723,3663,3374,4688,4534,2681,1941,2423,4173,4579,3331,5946,4731,2937,4358,3070,4575,4686,4532,2955,49072,81229,31157,91403,68985,58121,75572,78412,130301,114326,64310,712587,36293,59341,25855,748880,808221,834076
4,93,3892,5625,3389,4500,4305,2908,5742,5161,5152,4171,3853,2280,3426,3287,3094,4375,4119,2532,1772,2471,3864,4375,3010,5132,4378,2911,4148,2855,4013,4074,4205,2917,45518,76511,31327,90163,67329,57626,74124,77954,122029,114873,63766,699191,37177,61341,25709,736368,797709,823418
5,61,3924,5451,3191,4375,4423,2867,5620,4943,4972,4063,3723,2194,3502,3338,3011,4268,3836,2426,1691,2315,3764,4236,2971,4645,4464,2991,3810,2769,3889,3864,3915,2775,43498,74789,30886,88511,67554,56487,72533,76946,118287,113637,62770,687611,36518,58497,25414,724129,782626,808040
6,75,3805,5288,3202,4286,4258,2750,5548,4645,5041,4018,3491,2134,3391,3269,3121,4162,3759,2290,1745,2380,3790,4095,2718,4705,4357,2871,3631,2723,3770,3857,3695,2611,42173,73308,30048,87513,66961,55781,72817,76025,115481,111335,61763,677724,36056,60030,25729,713780,773810,799539
7,55,3862,5360,3388,4201,4206,2756,5637,4958,5107,4011,3458,2005,3399,3316,3094,4228,3788,2317,1637,2355,3617,4160,2665,4776,4403,2758,3734,2668,3664,3784,3467,2456,41501,73789,30650,88755,66767,56791,73469,76382,115290,112654,62639,683397,36765,59905,25752,720162,780067,805819
8,60,3776,5150,3213,4154,4127,2607,5375,4594,4809,3721,3399,2102,3334,3062,3010,3924,3529,2240,1715,2140,3557,3833,2635,4494,4267,2579,3579,2672,3655,3756,3485,2294,40354,70493,29485,86005,64880,54809,71136,73274,110847,109603,61143,661182,35472,57571,24536,696654,754225,778761
9,50,3350,5017,3047,4033,4028,2477,5076,4401,4602,3729,3411,1822,3482,3039,2934,3734,3328,2116,1653,2048,3558,3716,2350,4381,4089,2479,3245,2466,3574,3423,3071,2304,38860,67173,29727,84968,64248,54271,70140,71556,106033,107084,59522,647549,34992,56353,23393,682541,738894,762287
