date,admissions
09/05/2021,4
08/05/2021,0
07/05/2021,0
06/05/2021,0
05/05/2021,1
04/05/2021,1
03/05/2021,0
02/05/2021,0
01/05/2021,1
30/04/2021,0
29/04/2021,0
28/04/2021,0
27/04/2021,1
26/04/2021,0
25/04/2021,5
24/04/2021,2
23/04/2021,0
22/04/2021,1
21/04/2021,0
20/04/2021,1
19/04/2021,0
18/04/2021,2
17/04/2021,0
16/04/2021,2
15/04/2021,1
14/04/2021,3
13/04/2021,2
12/04/2021,0
11/04/2021,6
10/04/2021,7
09/04/2021,3
08/04/2021,4
07/04/2021,4
06/04/2021,1
05/04/2021,3
04/04/2021,2
03/04/2021,1
02/04/2021,4
01/04/2021,0
31/03/2021,6
30/03/2021,5
29/03/2021,3
28/03/2021,6
27/03/2021,4
26/03/2021,1
25/03/2021,5
24/03/2021,1
23/03/2021,3
22/03/2021,4
21/03/2021,6
20/03/2021,7
19/03/2021,4
18/03/2021,3
17/03/2021,4
16/03/2021,3
15/03/2021,3
14/03/2021,6
13/03/2021,5
12/03/2021,5
11/03/2021,3
10/03/2021,1
09/03/2021,3
08/03/2021,10
07/03/2021,14
06/03/2021,2
05/03/2021,2
04/03/2021,4
03/03/2021,8
02/03/2021,6
01/03/2021,4
28/02/2021,17
27/02/2021,8
26/02/2021,5
25/02/2021,10
24/02/2021,12
23/02/2021,7
22/02/2021,5
21/02/2021,16
20/02/2021,6
19/02/2021,6
18/02/2021,13
17/02/2021,19
16/02/2021,10
15/02/2021,14
14/02/2021,29
13/02/2021,4
12/02/2021,15
11/02/2021,7
10/02/2021,12
09/02/2021,15
08/02/2021,10
07/02/2021,26
06/02/2021,7
05/02/2021,9
04/02/2021,13
03/02/2021,10
02/02/2021,18
01/02/2021,11
31/01/2021,32
30/01/2021,15
29/01/2021,14
28/01/2021,19
27/01/2021,14
26/01/2021,23
25/01/2021,21
24/01/2021,12
23/01/2021,7
22/01/2021,16
21/01/2021,15
20/01/2021,30
19/01/2021,21
18/01/2021,18
17/01/2021,33
16/01/2021,14
15/01/2021,17
14/01/2021,20
13/01/2021,16
12/01/2021,24
11/01/2021,19
10/01/2021,16
09/01/2021,23
08/01/2021,24
07/01/2021,21
06/01/2021,16
05/01/2021,12
04/01/2021,18
03/01/2021,31
02/01/2021,10
01/01/2021,13
31/12/2020,8
30/12/2020,25
29/12/2020,23
28/12/2020,21
27/12/2020,16
26/12/2020,14
25/12/2020,14
24/12/2020,17
23/12/2020,15
22/12/2020,23
21/12/2020,16
20/12/2020,15
19/12/2020,16
18/12/2020,15
17/12/2020,7
16/12/2020,16
15/12/2020,11
14/12/2020,19
13/12/2020,12
12/12/2020,16
11/12/2020,15
10/12/2020,7
09/12/2020,7
08/12/2020,12
07/12/2020,12
06/12/2020,22
05/12/2020,8
04/12/2020,10
03/12/2020,13
02/12/2020,9
01/12/2020,5
30/11/2020,8
29/11/2020,26
28/11/2020,2
27/11/2020,4
26/11/2020,5
25/11/2020,9
24/11/2020,7
23/11/2020,12
22/11/2020,10
21/11/2020,4
20/11/2020,5
19/11/2020,8
18/11/2020,9
17/11/2020,6
16/11/2020,8
15/11/2020,3
14/11/2020,8
13/11/2020,0
12/11/2020,4
11/11/2020,2
10/11/2020,18
09/11/2020,5
08/11/2020,3
07/11/2020,6
06/11/2020,3
05/11/2020,10
04/11/2020,6
03/11/2020,6
02/11/2020,7
01/11/2020,5
31/10/2020,7
30/10/2020,2
29/10/2020,8
28/10/2020,3
27/10/2020,6
26/10/2020,7
25/10/2020,3
24/10/2020,3
23/10/2020,4
22/10/2020,1
21/10/2020,0
20/10/2020,0
19/10/2020,0
18/10/2020,3
17/10/2020,1
16/10/2020,1
15/10/2020,1
14/10/2020,3
13/10/2020,3
12/10/2020,2
11/10/2020,2
10/10/2020,1
09/10/2020,1
08/10/2020,1
07/10/2020,0
06/10/2020,0
05/10/2020,0
04/10/2020,0
03/10/2020,2
02/10/2020,0
01/10/2020,1
30/09/2020,2
29/09/2020,2
28/09/2020,0
27/09/2020,1
26/09/2020,0
25/09/2020,3
24/09/2020,1
23/09/2020,0
22/09/2020,0
21/09/2020,1
20/09/2020,3
19/09/2020,0
18/09/2020,0
17/09/2020,0
16/09/2020,0
15/09/2020,0
14/09/2020,0
13/09/2020,0
12/09/2020,0
11/09/2020,0
10/09/2020,0
09/09/2020,0
08/09/2020,1
07/09/2020,0
06/09/2020,2
05/09/2020,0
04/09/2020,1
03/09/2020,1
02/09/2020,0
01/09/2020,0
31/08/2020,0
30/08/2020,0
29/08/2020,1
28/08/2020,1
27/08/2020,0
26/08/2020,0
25/08/2020,0
24/08/2020,0
23/08/2020,0
22/08/2020,0
21/08/2020,0
20/08/2020,3
19/08/2020,0
18/08/2020,0
17/08/2020,0
16/08/2020,0
15/08/2020,0
14/08/2020,0
13/08/2020,0
12/08/2020,0
11/08/2020,2
10/08/2020,0
09/08/2020,1
08/08/2020,1
07/08/2020,0
06/08/2020,0
05/08/2020,1
04/08/2020,0
03/08/2020,0
02/08/2020,2
01/08/2020,0
31/07/2020,0
30/07/2020,2
29/07/2020,2
28/07/2020,2
27/07/2020,1
26/07/2020,1
25/07/2020,0
24/07/2020,0
23/07/2020,0
22/07/2020,0
21/07/2020,0
20/07/2020,0
19/07/2020,1
18/07/2020,0
17/07/2020,0
16/07/2020,0
15/07/2020,0
14/07/2020,0
13/07/2020,0
12/07/2020,0
11/07/2020,2
10/07/2020,0
09/07/2020,0
08/07/2020,1
07/07/2020,1
06/07/2020,0
05/07/2020,1
04/07/2020,3
03/07/2020,0
02/07/2020,1
01/07/2020,1
30/06/2020,1
29/06/2020,0
28/06/2020,0
27/06/2020,0
26/06/2020,0
25/06/2020,0
24/06/2020,0
23/06/2020,0
22/06/2020,1
21/06/2020,1
20/06/2020,1
19/06/2020,1
18/06/2020,0
17/06/2020,0
16/06/2020,0
15/06/2020,2
14/06/2020,1
13/06/2020,1
12/06/2020,0
11/06/2020,0
10/06/2020,0
09/06/2020,0
08/06/2020,2
07/06/2020,2
06/06/2020,1
05/06/2020,0
04/06/2020,0
03/06/2020,0
02/06/2020,0
01/06/2020,6
31/05/2020,2
30/05/2020,1
29/05/2020,1
28/05/2020,0
27/05/2020,0
26/05/2020,0
25/05/2020,4
24/05/2020,2
23/05/2020,0
22/05/2020,0
21/05/2020,1
20/05/2020,0
19/05/2020,2
18/05/2020,0
17/05/2020,1
16/05/2020,0
15/05/2020,0
14/05/2020,2
13/05/2020,1
12/05/2020,0
11/05/2020,0
10/05/2020,0
09/05/2020,0
08/05/2020,0
07/05/2020,0
06/05/2020,0
05/05/2020,1
04/05/2020,0
03/05/2020,0
02/05/2020,0
01/05/2020,0
30/04/2020,0
29/04/2020,0
28/04/2020,0
27/04/2020,0
26/04/2020,1
25/04/2020,0
24/04/2020,0
23/04/2020,0
22/04/2020,0
21/04/2020,0
20/04/2020,0
19/04/2020,2
18/04/2020,0
17/04/2020,0
16/04/2020,0
15/04/2020,1
14/04/2020,0
13/04/2020,0
12/04/2020,0
11/04/2020,11
10/04/2020,0
09/04/2020,0
08/04/2020,7
07/04/2020,0
06/04/2020,5
05/04/2020,3
04/04/2020,0
03/04/2020,0
02/04/2020,1
01/04/2020,0
31/03/2020,4
30/03/2020,9
29/03/2020,10
28/03/2020,2
27/03/2020,16
26/03/2020,7
25/03/2020,16
24/03/2020,6
23/03/2020,2
22/03/2020,3
21/03/2020,3
20/03/2020,0
19/03/2020,9
