Age,Barking_and_Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith_and_Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington_and_Chelsea,Kingston_upon_Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond_upon_Thames,Southwark,Sutton,Tower_Hamlets,Waltham_Forest,Wandsworth,Westminster,Greater_London
10,3146.0,4713.0,2960.0,3698.0,3781.0,2419.0,4883.0,4162.0,4425.0,3437.0,3131.0,1733.0,3152.0,2961.0,2916.0,3631.0,3124.0,1981.0,1548.0,1949.0,3260.0,3428.0,2355.0,4237.0,3887.0,2348.0,3250.0,2385.0,3246.0,3261.0,2780.0,2176.0,100363.0
11,2770.0,4498.0,2918.0,3735.0,3799.0,2440.0,4693.0,3883.0,4249.0,3030.0,2957.0,1611.0,3185.0,2898.0,2775.0,3447.0,2862.0,1954.0,1546.0,1927.0,3054.0,3202.0,2191.0,3934.0,3948.0,2201.0,2910.0,2346.0,3243.0,3140.0,2791.0,2092.0,96229.0
12,2724.0,4553.0,2823.0,3680.0,3709.0,2293.0,4545.0,3887.0,4053.0,2981.0,2974.0,1579.0,3030.0,2832.0,2694.0,3289.0,2803.0,1914.0,1394.0,1754.0,3067.0,2964.0,2008.0,3923.0,3870.0,2267.0,2874.0,2310.0,3228.0,3104.0,2639.0,2071.0,93836.0
13,2664.0,4277.0,2872.0,3549.0,3458.0,2316.0,4418.0,3788.0,3959.0,2893.0,2791.0,1504.0,2957.0,2716.0,2694.0,3266.0,2688.0,1850.0,1344.0,1701.0,2854.0,2917.0,2021.0,3782.0,3772.0,1982.0,2818.0,2138.0,3056.0,2909.0,2464.0,1940.0,90358.0
14,2689.0,4187.0,2935.0,3598.0,3674.0,2260.0,4455.0,3793.0,4032.0,2919.0,2808.0,1521.0,3056.0,2870.0,2805.0,3351.0,2709.0,1890.0,1282.0,1736.0,2892.0,2926.0,2086.0,3916.0,3728.0,1987.0,2807.0,2324.0,2913.0,3008.0,2472.0,2003.0,91632.0
15,2566.0,4420.0,3029.0,3720.0,3668.0,2211.0,4724.0,3900.0,4140.0,2971.0,2845.0,1498.0,3034.0,2982.0,2900.0,3492.0,2753.0,1856.0,1303.0,1795.0,2929.0,3072.0,2073.0,3930.0,3710.0,2020.0,2802.0,2342.0,2773.0,2872.0,2358.0,1988.0,92676.0
16,2555.0,4348.0,3056.0,3570.0,3809.0,2058.0,4812.0,3868.0,4194.0,3028.0,2757.0,1547.0,3069.0,3054.0,3066.0,3460.0,2896.0,1890.0,1302.0,1820.0,2792.0,3075.0,2003.0,4055.0,3829.0,2069.0,2870.0,2352.0,2863.0,2963.0,2448.0,1974.0,93452.0
17,2907.0,4330.0,3152.0,3726.0,3807.0,2134.0,4816.0,3858.0,4179.0,2952.0,2798.0,1397.0,3125.0,3180.0,3017.0,3721.0,2978.0,2008.0,1189.0,1785.0,3025.0,3082.0,2113.0,4085.0,3799.0,1992.0,2751.0,2503.0,2866.0,3070.0,2395.0,1998.0,94738.0
18,2718.0,4302.0,2966.0,3763.0,3832.0,2330.0,4860.0,3722.0,4262.0,3147.0,2683.0,1497.0,3073.0,2965.0,3055.0,3610.0,3046.0,2275.0,1323.0,1913.0,2924.0,3208.0,2069.0,4127.0,3834.0,1750.0,3057.0,2385.0,3195.0,2932.0,2433.0,2233.0,95489.0
19,2170.0,3595.0,2562.0,3498.0,2849.0,3747.0,3868.0,3434.0,3565.0,3358.0,2558.0,1493.0,2673.0,2052.0,2691.0,3798.0,2835.0,3151.0,1632.0,2166.0,2922.0,2959.0,1716.0,4273.0,2978.0,1589.0,3742.0,1783.0,3871.0,2784.0,2453.0,2803.0,91568.0
