Age,Barking_and_Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith_and_Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington_and_Chelsea,Kingston_upon_Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond_upon_Thames,Southwark,Sutton,Tower_Hamlets,Waltham_Forest,Wandsworth,Westminster,Greater_London
69,1028.0,2882.0,2131.0,1958.0,2981.0,1603.0,2642.0,2141.0,2310.0,1611.0,1014.0,1065.0,1418.0,2013.0,2402.0,2047.0,1601.0,1071.0,1378.0,1302.0,1312.0,1470.0,1263.0,1245.0,1885.0,1630.0,1350.0,1681.0,938.0,1523.0,1577.0,1608.0,54080.0
70,963.0,2740.0,1868.0,1846.0,2836.0,1602.0,2387.0,1914.0,2095.0,1521.0,1019.0,963.0,1335.0,1836.0,2178.0,1930.0,1553.0,1027.0,1236.0,1135.0,1238.0,1319.0,1256.0,1139.0,1795.0,1481.0,1255.0,1490.0,861.0,1309.0,1488.0,1570.0,50185.0
71,849.0,2739.0,1905.0,1762.0,2698.0,1525.0,2381.0,1932.0,2185.0,1412.0,968.0,955.0,1288.0,1849.0,2151.0,1894.0,1508.0,1039.0,1217.0,1098.0,1187.0,1278.0,1152.0,1146.0,1675.0,1592.0,1197.0,1496.0,783.0,1312.0,1357.0,1410.0,48940.0
72,868.0,2395.0,1863.0,1702.0,2665.0,1315.0,2324.0,1849.0,2071.0,1297.0,915.0,844.0,1123.0,1628.0,2024.0,1783.0,1446.0,981.0,1155.0,1089.0,1175.0,1250.0,1073.0,1081.0,1733.0,1294.0,1129.0,1381.0,749.0,1298.0,1379.0,1276.0,46155.0
73,804.0,2176.0,1617.0,1642.0,2301.0,1169.0,2098.0,1740.0,1835.0,1178.0,819.0,768.0,1054.0,1537.0,1853.0,1642.0,1366.0,828.0,1040.0,933.0,1035.0,1221.0,1013.0,1057.0,1428.0,1148.0,1079.0,1227.0,718.0,1234.0,1249.0,1132.0,41941.0
74,690.0,1892.0,1458.0,1448.0,2051.0,1078.0,1878.0,1582.0,1635.0,1108.0,780.0,783.0,1009.0,1375.0,1631.0,1420.0,1132.0,806.0,852.0,821.0,1048.0,1063.0,1076.0,945.0,1351.0,1052.0,1003.0,1073.0,794.0,1015.0,1198.0,1130.0,38177.0
75,763.0,2009.0,1599.0,1616.0,2104.0,1093.0,1964.0,1674.0,1763.0,1165.0,787.0,814.0,1098.0,1553.0,1795.0,1575.0,1236.0,827.0,912.0,892.0,1163.0,1164.0,1003.0,1059.0,1476.0,1088.0,1025.0,1197.0,785.0,1132.0,1239.0,1153.0,40723.0
76,739.0,1995.0,1697.0,1511.0,2178.0,1152.0,1906.0,1712.0,1722.0,1095.0,778.0,782.0,1063.0,1538.0,1725.0,1521.0,1276.0,821.0,892.0,872.0,999.0,1115.0,1039.0,981.0,1418.0,1115.0,970.0,1139.0,692.0,1124.0,1225.0,1164.0,39956.0
77,817.0,1910.0,1595.0,1392.0,2156.0,1025.0,1915.0,1644.0,1662.0,1040.0,693.0,704.0,1010.0,1411.0,1694.0,1531.0,1205.0,743.0,804.0,753.0,986.0,1159.0,947.0,931.0,1414.0,1010.0,906.0,1123.0,683.0,1105.0,1126.0,1117.0,38211.0
78,663.0,1750.0,1512.0,1447.0,1974.0,920.0,1822.0,1436.0,1549.0,967.0,724.0,633.0,981.0,1362.0,1712.0,1492.0,1081.0,753.0,784.0,815.0,936.0,1009.0,891.0,893.0,1193.0,837.0,827.0,1042.0,666.0,1041.0,1098.0,1015.0,35825.0
79,662.0,1837.0,1441.0,1327.0,1924.0,904.0,1745.0,1461.0,1437.0,1005.0,666.0,598.0,913.0,1317.0,1620.0,1463.0,1036.0,639.0,680.0,716.0,896.0,971.0,865.0,779.0,1220.0,912.0,872.0,1047.0,645.0,986.0,976.0,951.0,34511.0
80,654.0,1658.0,1355.0,1258.0,1776.0,815.0,1635.0,1360.0,1392.0,891.0,667.0,534.0,753.0,1266.0,1558.0,1356.0,977.0,581.0,663.0,670.0,798.0,893.0,775.0,738.0,1158.0,807.0,732.0,1022.0,579.0,884.0,887.0,894.0,31986.0
81,579.0,1596.0,1284.0,1107.0,1660.0,777.0,1530.0,1235.0,1307.0,820.0,567.0,499.0,703.0,1180.0,1437.0,1214.0,864.0,592.0,535.0,619.0,659.0,840.0,685.0,705.0,1154.0,735.0,655.0,885.0,568.0,834.0,832.0,798.0,29455.0
82,563.0,1572.0,1219.0,1068.0,1678.0,702.0,1371.0,1084.0,1214.0,735.0,487.0,459.0,675.0,1096.0,1405.0,1130.0,827.0,537.0,494.0,604.0,675.0,761.0,696.0,549.0,982.0,695.0,617.0,870.0,495.0,772.0,751.0,809.0,27592.0
83,559.0,1375.0,1077.0,936.0,1692.0,702.0,1319.0,1051.0,1114.0,697.0,442.0,448.0,668.0,935.0,1347.0,1072.0,741.0,456.0,454.0,618.0,671.0,684.0,697.0,613.0,966.0,733.0,617.0,790.0,484.0,731.0,743.0,706.0,26138.0
84,509.0,1299.0,1051.0,888.0,1467.0,668.0,1167.0,948.0,1055.0,649.0,414.0,409.0,569.0,873.0,1253.0,947.0,722.0,478.0,472.0,556.0,610.0,647.0,601.0,509.0,895.0,663.0,534.0,739.0,434.0,650.0,648.0,650.0,23974.0
85,522.0,1226.0,966.0,773.0,1439.0,587.0,1021.0,848.0,948.0,595.0,394.0,394.0,502.0,898.0,1180.0,897.0,633.0,417.0,449.0,526.0,581.0,640.0,632.0,460.0,850.0,654.0,514.0,669.0,434.0,610.0,618.0,610.0,22487.0
86,385.0,1120.0,912.0,668.0,1228.0,539.0,917.0,700.0,778.0,489.0,355.0,349.0,423.0,703.0,1060.0,766.0,524.0,346.0,392.0,450.0,479.0,552.0,444.0,377.0,764.0,523.0,493.0,692.0,315.0,527.0,507.0,530.0,19307.0
87,421.0,906.0,741.0,582.0,1047.0,474.0,834.0,624.0,679.0,476.0,277.0,291.0,298.0,651.0,906.0,635.0,459.0,310.0,338.0,425.0,392.0,439.0,455.0,339.0,647.0,499.0,379.0,552.0,271.0,471.0,441.0,492.0,16751.0
88,340.0,879.0,706.0,476.0,859.0,377.0,754.0,497.0,590.0,398.0,226.0,219.0,280.0,515.0,771.0,577.0,376.0,248.0,263.0,349.0,369.0,404.0,376.0,256.0,597.0,465.0,350.0,449.0,276.0,396.0,425.0,377.0,14440.0
89,308.0,733.0,541.0,385.0,839.0,355.0,624.0,490.0,542.0,361.0,193.0,214.0,231.0,468.0,637.0,489.0,317.0,222.0,278.0,344.0,326.0,360.0,311.0,242.0,536.0,399.0,298.0,364.0,190.0,342.0,342.0,340.0,12621.0
90,1131.0,3358.0,2082.0,1567.0,3183.0,1455.0,2451.0,1958.0,2135.0,1505.0,855.0,776.0,965.0,1959.0,2450.0,1863.0,1303.0,841.0,1149.0,1399.0,1141.0,1332.0,1271.0,916.0,1965.0,1779.0,1199.0,1594.0,705.0,1450.0,1412.0,1313.0,50462.0
