park,hospital,supermarket,office,school,leisure,shopping
34,2,8,416,1,14,31
34,2,8,416,1,11,31
34,2,8,416,1,11,31
34,2,8,416,1,11,31
34,2,8,416,1,11,31
34,2,8,416,1,14,31
34,2,8,416,1,14,31
34,2,8,416,1,14,31
34,2,8,416,1,14,31
34,2,8,416,1,11,31
34,2,8,416,1,11,31
34,2,8,416,1,14,31
34,2,8,416,1,14,31
34,2,8,416,1,11,31
34,2,8,416,1,11,31
11,2,8,59,139,14,31
11,2,8,197,139,14,31
11,2,8,197,139,5,31
11,2,8,197,139,5,31
11,2,8,197,139,14,31
11,2,8,197,139,14,31
11,2,8,108,139,14,31
34,2,8,59,139,14,31
11,2,8,141,139,143,31
11,2,8,197,139,143,31
34,2,8,108,139,14,31
11,2,8,197,139,14,31
11,2,8,108,139,14,31
11,2,8,59,139,14,31
11,2,8,197,139,14,31
11,2,8,197,139,5,31
11,2,8,59,139,14,31
11,2,8,59,139,14,31
11,2,8,59,139,14,31
11,2,8,59,139,14,31
34,2,8,108,139,14,31
11,2,8,197,139,14,31
11,2,8,108,139,14,31
11,2,8,197,139,14,31
11,2,8,108,139,14,31
11,2,8,108,139,14,31
11,2,8,197,139,5,31
11,2,8,141,139,14,31
11,2,8,59,139,14,31
11,2,8,197,139,5,31
11,2,8,108,139,14,31
11,2,8,197,139,14,31
11,2,8,59,139,14,31
11,2,8,108,139,14,31
11,2,8,197,139,14,31
34,2,8,108,139,14,31
11,2,8,108,139,14,31
11,2,8,197,139,14,31
11,2,8,59,139,14,31
11,2,8,197,139,5,31
11,2,8,59,139,14,31
11,2,8,59,139,14,31
11,2,8,59,139,14,31
11,2,8,59,139,14,31
11,2,8,59,139,14,31
11,2,8,197,139,14,31
11,2,8,197,139,5,31
11,2,8,197,139,5,31
11,2,8,141,139,14,31
11,2,8,197,139,5,31
11,2,8,108,139,14,31
11,2,8,197,139,14,31
11,2,8,108,139,14,31
11,2,8,197,139,5,31
11,2,8,59,139,14,31
11,2,8,197,139,5,31
11,2,8,108,139,14,31
11,2,8,59,139,14,31
11,2,8,197,139,14,31
11,2,8,197,139,14,31
11,2,8,197,139,14,31
11,2,8,197,139,14,31
11,2,8,197,139,5,31
11,2,8,197,139,14,31
11,2,8,197,139,5,31
34,2,8,108,1,14,31
34,2,8,108,139,14,31
11,2,8,108,139,14,31
11,2,8,197,139,14,31
11,2,8,108,139,14,31
11,2,8,197,139,14,31
11,2,8,108,139,14,31
34,2,8,108,139,14,31
