park,hospital,supermarket,office,school,leisure,shopping
60,3,12,245,107,14,181
60,3,12,253,107,9,181
60,3,12,351,107,9,181
60,3,12,293,107,14,181
0,3,12,245,107,14,181
60,3,12,253,107,9,181
60,3,12,253,107,9,181
17,3,12,245,107,14,181
60,3,12,245,107,14,181
60,3,12,293,107,14,181
60,3,12,253,107,9,181
60,3,12,253,107,9,181
60,3,12,253,107,9,181
60,3,12,351,107,9,181
60,3,12,253,107,14,181
60,3,12,293,107,14,181
60,3,12,351,107,9,181
60,3,12,293,107,14,181
60,3,12,71,107,14,181
60,3,12,293,107,14,181
60,3,12,253,107,14,181
60,3,12,293,107,14,181
60,3,12,293,107,14,181
60,3,12,293,107,14,181
60,3,12,351,107,1,181
60,3,12,253,107,9,181
60,3,12,253,107,14,181
60,3,12,253,107,14,181
60,3,12,253,107,9,181
60,3,12,245,107,14,181
60,3,12,245,107,14,181
60,3,12,253,107,9,181
60,3,12,245,107,14,181
60,3,12,253,107,9,181
60,3,12,351,107,9,181
60,3,12,351,107,9,181
0,3,12,245,107,14,181
60,3,12,253,107,9,181
60,3,12,253,107,9,181
60,3,12,253,107,9,181
60,3,12,253,107,9,181
60,3,12,253,107,9,181
60,3,12,293,107,14,181
60,3,12,245,107,14,181
60,3,12,253,107,9,181
60,3,12,253,107,9,181
60,3,12,293,107,14,181
60,3,12,245,107,14,181
60,3,12,293,107,14,181
60,3,12,293,107,14,181
60,3,12,293,107,14,181
0,3,12,245,107,14,181
60,3,12,245,107,14,181
60,3,12,293,107,14,181
60,3,12,253,107,14,181
60,3,12,253,107,14,181
60,3,12,245,107,14,181
60,3,12,293,107,14,181
60,3,12,253,107,9,181
60,3,12,253,107,14,181
60,3,12,253,107,14,181
60,3,12,293,107,14,181
60,3,12,293,107,14,181
60,3,12,253,107,9,181
60,3,12,253,107,14,181
60,3,12,351,107,14,181
60,3,12,293,107,14,181
60,3,12,293,107,14,181
60,3,12,253,107,9,181
60,3,12,71,107,14,181
60,3,12,351,107,14,181
60,3,12,245,107,14,181
60,3,12,293,107,14,181
60,3,12,245,107,14,181
60,3,12,253,107,14,181
60,3,12,253,107,9,181
60,3,12,253,107,9,181
60,3,12,245,107,14,181
60,3,12,253,107,9,181
60,3,12,293,107,14,181
60,3,12,253,107,9,181
60,3,12,351,107,14,181
60,3,12,253,107,14,181
60,3,12,245,107,14,181
60,3,12,351,107,14,181
0,3,12,245,107,14,181
